t,lat,lon,z,TOP_az,TOP_dist,TOP_inc,JDNA_az,JDNA_dist,JDNA_inc,JDNB_az,JDNB_dist,JDNB_inc,JDSA_az,JDSA_dist,JDSA_inc,JDSB_az,JDSB_dist,JDSB_inc,QST_az,QST_dist,QST_inc,CHKB_az,CHKB_dist,CHKB_inc,VPT_az,VPT_dist,VPT_inc
2023-10-06T21:23:30.270000Z,43.123572,-116.798532,1837.0,124.55646674002885,420.9928479098978,[89.51597087],257.5032877863179,1078.2304472785638,[80.75445083],256.92178284102454,916.234944066559,[80.07230527],280.32669822975225,1070.8079847726447,[80.6783254],284.52079781670994,885.2864572260271,[81.80454781],203.6034403979952,9831.466214723869,[86.31706608],210.47925685339467,22255.490012779806,[87.54270661],273.3327204191691,4194.845848274682,[89.44687975]
2023-10-06T21:23:31.350000Z,43.123712,-116.798532,1837.0,122.7764930378309,412.3690480554643,[89.50584896],258.31263724586216,1074.9698676399198,[80.72689383],257.8727046444249,912.8392592183409,[80.03611383],281.14327332747365,1073.7027619601845,[80.70301789],285.4909221429494,889.3117459597263,[81.84114231],203.6397383173183,9817.212481073599,[86.31173353],210.49952190365232,22242.074293632788,[87.54122626],273.5447593057681,4195.7692264405205,[89.44700147]
2023-10-06T21:23:32.280000Z,43.123712,-116.798597,1837.0,123.17872577696502,407.93187817401514,[89.50047423],258.3695169431119,1080.150086311879,[80.77059898],257.94210306875385,918.0112590879882,[80.09113386],281.08902734569153,1078.8931974520387,[80.74696919],285.4004624532195,894.4104023643409,[81.88703158],203.6680198138467,9819.331890692123,[86.31252741],210.51127244433866,22244.75179578632,[87.54152185],273.5403432002616,4201.048836049014,[89.4476964]
2023-10-06T21:23:33.790000Z,43.123901,-116.798593,1837.0,120.61666956673234,397.10973171570726,[89.48686173],259.4613733177075,1075.7904407156404,[80.73384428],259.2257591317531,913.5332296504251,[80.04353144],282.182731086235,1082.8062638527404,[80.77983266],286.6949748654972,899.8997277124734,[81.9358672],203.71549147557567,9799.969024754686,[86.30526183],210.53795188962576,22226.48223723358,[87.53950353],273.82637751326774,4202.060008673014,[89.44782929]
2023-10-06T21:23:35.360000Z,43.123901,-116.798465,1837.0,119.86814083613467,406.10827695482385,[89.49823126],259.3588484018728,1065.55189601205,[80.64637502],259.10216417225075,903.3029622555263,[79.93306435],282.3000639268624,1072.626504574064,[80.69385256],286.88754922735296,889.9271996452649,[81.84670891],203.6596973184399,9795.78981144924,[86.3036899],210.5147970437223,22221.206341375888,[87.53892006],273.83579174018206,4191.666612071795,[89.44646025]
2023-10-06T21:23:36.820000Z,43.123901,-116.798273,1837.0,118.80582121493715,419.7290545621141,[89.51451354],259.2013152381077,1050.2006264535344,[80.51211718],258.91143533651,887.9656635576794,[79.76283108],282.48029957036437,1057.3655092565662,[80.56193645],287.18463763638243,874.9878030555218,[81.70942007],203.5759169642341,9789.538399674966,[86.30133606],210.48004420011168,22213.29928051966,[87.53804509],273.8500013509877,4176.07673265823,[89.44439394]
2023-10-06T21:23:37.950000Z,43.123898,-116.798074,1837.0,117.8144207361432,434.14434869837334,[89.53063286],259.0149831428739,1034.3618050153284,[80.36953359],258.6852068324615,872.1453114711078,[79.58116476],282.6547912071783,1041.4864861601588,[80.42068618],287.4822585219816,859.429314720351,[81.56147561],203.4881924659594,9783.38690123819,[86.29901691],210.4435637527834,22205.400152649152,[87.53717038],273.86026172796784,4159.896499057616,[89.442233]
2023-10-06T21:23:39.920000Z,43.123901,-116.797698,1830.0,116.00393758764127,461.28083051961164,[90.42769855],258.7007574568373,1004.2771190532848,[80.47465907],258.298729859857,842.0967453584557,[79.67826074],283.0525779823429,1011.7284135419928,[80.52962785],288.1381907258435,830.3983115198326,[81.74337923],203.3243739840393,9770.942054137147,[86.33519393],210.37581897686402,22189.668050224336,[87.5534679],273.89320092645784,4129.3898657316295,[89.53523068]
2023-10-06T21:23:42.290000Z,43.123718,-116.797187,1830.0,116.0081858287054,507.5682639327838,[90.38869605],257.0377485383856,967.8944935170271,[80.12353355],256.28331658636046,806.0023700606107,[79.22662744],282.4349659448327,966.685236239709,[80.09689875],287.6722766012609,784.5785924325701,[81.26841991],203.05332838452898,9773.282002918491,[86.33606898],210.25660726870746,22186.303981237103,[87.55309739],273.64803964245516,4086.569688874196,[89.53036092]
2023-10-06T21:23:49.710000Z,43.123572,-116.795262,1791.0,111.28762334607806,657.6947960223663,[93.69238252],253.47648384724977,820.4641037937785,[81.02955124],251.68305382534632,659.7958604580558,[80.16640365],283.6986602297404,810.411040195838,[80.90271022],290.58596928298414,631.2088971577174,[82.64282692],202.16678356435568,9728.111175918988,[86.54791243],209.8847078988357,22122.081920199802,[87.64683411],273.5559978436061,3929.212568704299,[90.08023984]
